CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
H0AL01089,"HIGHTOWER, BILL",O,2,REP,1249000.09,0.0,1054075.7,0.0,0.0,194924.39,0.0,0.0,0.0,0.0,0.0,0.0,1195812.68,AL,1,,,,,,51200.0,0.0,06/24/2020,7200.0,0.0
H0AL01121,"CASTORANI, JOHN",O,2,REP,26809.68,0.0,26752.68,0.0,0.0,57.0,0.0,15159.68,0.0,8600.0,0.0,6559.68,11650.0,AL,1,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H4AL01123,"BYRNE, BRADLEY ROBERTS",I,2,REP,544643.34,19259.14,1619368.36,1504815.73,1074725.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60571.0,AL,1,,,,,,464813.2,0.0,03/31/2019,0.0,2500.0
H0AL02202,"HARVEY-HALL, PHYLLIS",O,1,DEM,11265.5,0.0,10680.81,0.0,0.0,584.69,0.0,7458.5,0.0,0.0,0.0,2550.0,3788.0,AL,2,,,,,,0.0,19.0,03/31/2020,0.0,0.0
H6AL02167,"MATHIS, NATHAN",O,1,DEM,12230.0,0.0,12230.0,0.0,0.0,0.0,12230.0,0.0,0.0,0.0,0.0,0.0,12230.0,AL,2,,,,,,0.0,0.0,02/20/2020,0.0,0.0
H0AL02087,"ROBY, MARTHA",I,2,REP,216297.5,0.0,403572.29,0.0,341683.01,154408.22,0.0,0.0,0.0,0.0,0.0,0.0,53800.0,AL,2,,,,,,161500.0,0.0,03/31/2020,55035.0,12615.38
H0AL02137,"DISMUKES, WILL",O,2,REP,15043.0,0.0,14291.33,0.0,0.0,751.67,0.0,0.0,0.0,0.0,0.0,0.0,15043.0,AL,2,,,,,,0.0,0.0,12/31/2019,1900.0,0.0
H0AL02145,"COLEMAN, JEFF",O,2,REP,2388254.24,0.0,2256199.32,0.0,0.0,132054.92,0.0,975000.0,0.0,0.0,0.0,368899.98,1209754.24,AL,2,,,,,,203500.0,0.0,06/24/2020,0.0,0.0
H0AL02152,"KING, TROY",O,2,REP,283113.4,0.0,280085.19,0.0,0.0,3028.21,0.0,0.0,0.0,0.0,0.0,46928.1,272113.4,AL,2,,,,,,11000.0,0.0,03/31/2020,22750.0,0.0
H0AL02160,"BROWN, THOMAS WILLIAM JR.",O,2,REP,22950.0,0.0,22417.46,0.0,0.0,532.54,0.0,17950.0,0.0,0.0,0.0,17950.0,5000.0,AL,2,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AL02178,"TAYLOR, JESSICA",O,2,REP,476139.02,3351.7,476139.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439304.12,AL,2,,,,,,29505.0,0.0,06/30/2020,31560.0,0.0
H0AL02194,"HASDORFF, TERRI",O,2,REP,82156.0,0.0,82156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82156.0,AL,2,,,,,,0.0,0.0,03/31/2020,16800.0,0.0
H6AL02159,"ROGERS, ROBERT L",O,2,REP,23574.69,0.0,17129.67,0.0,0.0,830.28,23320.24,0.0,0.0,0.0,0.0,4041.0,254.32,AL,2,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H8AL02080,"LOVE, JAY K",O,2,REP,0.0,0.0,0.0,0.0,372.13,372.13,0.0,0.0,0.0,0.0,0.0,194214.55,0.0,AL,2,,,,,,0.0,0.0,12/31/2019,0.0,0.0
H8AL02171,"MOORE, FELIX BARRY",O,2,REP,486922.0,0.0,394338.97,0.0,4927.67,97510.7,0.0,190900.0,0.0,0.0,0.0,266850.44,280307.0,AL,2,,,,,,15715.0,0.0,06/24/2020,5200.0,0.0
H8AL02189,"AMASON, THOMAS MARRION III",C,2,REP,0.0,0.0,0.0,0.0,-654.2,-654.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,2,,,,,,0.0,0.0,03/31/2019,0.0,0.0
H8AL03039,"TURNHAM, JOSEPH R",C,1,DEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,3,,,,,,0.0,0.0,03/31/2019,0.0,0.0
H8AL03054,"HAGAN, MALLORY",C,1,DEM,4891.75,0.0,7809.28,0.0,2917.53,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1320.0,AL,3,,,,,,0.0,0.0,03/31/2019,240.0,0.0
H8AL03062,"WINFREY, ADIA",C,1,DEM,4333.0,0.0,4197.05,0.0,0.0,135.95,700.0,0.0,0.0,0.0,0.0,0.0,3633.0,AL,3,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H2AL03032,"ROGERS, MICHAEL",I,2,REP,813604.19,0.0,733868.39,280500.0,527686.03,607421.83,0.0,0.0,0.0,0.0,0.0,0.0,307527.0,AL,3,,,,,,494745.0,6000.0,03/31/2020,500.0,0.0
H8AL04086,"NEIGHBORS, RICKY",C,1,DEM,8207.7,0.0,7710.53,0.0,0.0,497.17,0.0,0.0,0.0,0.0,0.0,0.0,8207.7,AL,4,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H6AL04098,"ADERHOLT, ROBERT B. REP.",I,2,REP,750387.79,0.0,539254.54,0.0,715740.36,926873.61,0.0,0.0,0.0,0.0,0.0,0.0,279270.35,AL,4,,,,,,468900.0,0.0,03/31/2020,2180.0,0.0
H8AL05190,"JOFFRION, PETER S.",O,1,DEM,171.51,0.0,3106.96,0.0,2935.45,0.0,171.51,0.0,0.0,0.0,0.0,0.0,0.0,AL,5,,,,,,0.0,0.0,04/22/2019,0.0,0.0
H0AL05163,"BROOKS, MO",I,2,REP,347117.85,0.0,194799.98,0.0,692181.51,844499.38,0.0,0.0,0.0,0.0,0.0,0.0,212917.37,AL,5,,,,,,132720.0,0.0,03/31/2020,0.0,0.0
H0AL05205,"LEWIS, CHRIS",C,2,REP,167496.86,0.0,166557.31,0.0,0.0,939.55,3.25,29500.0,0.0,3000.0,0.0,61516.97,122217.86,AL,5,,,,,,15000.0,0.0,06/30/2020,1250.0,0.0
H8AL05208,"HINCHMAN, ROBERT CLAYTON MR",O,3,GOP,1033.08,0.0,0.0,0.0,-1033.08,0.0,1033.08,0.0,0.0,0.0,0.0,92624.68,0.0,AL,5,,,,,,0.0,0.0,06/30/2019,0.0,0.0
H4AL06098,"PALMER, GARY",I,2,REP,671485.14,50948.78,533579.21,0.0,372551.28,510457.21,0.0,0.0,0.0,0.0,0.0,0.0,363080.0,AL,6,,,,,,256100.0,0.0,03/31/2020,1000.0,-2700.0
H0AL07086,"SEWELL, TERRI A.",I,1,DEM,1397942.31,0.0,1083781.15,0.0,1571272.38,1885433.54,0.0,0.0,0.0,0.0,0.0,0.0,261017.6,AL,7,,,,,,1134250.0,0.0,03/31/2020,0.0,0.0
H6AL07166,"WALTERS, EDDISON T",O,1,DEM,0.0,0.0,113.7,0.0,1291.5,1177.8,0.0,0.0,0.0,0.0,0.0,11342.65,0.0,AL,7,,,,,,0.0,0.0,12/31/2019,0.0,0.0
H0AR01109,"CAUSEY, CHAD",O,1,DEM,0.0,0.0,600.0,0.0,331.59,181.59,0.0,0.0,0.0,0.0,0.0,112037.3,0.0,AR,1,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AR01083,"CRAWFORD, ERIC ALAN RICK",I,2,REP,702736.02,4167.0,580327.91,46000.0,311424.52,433832.63,0.0,0.0,0.0,0.0,0.0,0.0,358233.4,AR,1,,,,,,340335.62,0.0,03/31/2020,0.0,0.0
H0AR01125,"SMITH, PRINCELLA D",O,2,REP,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,1,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AR02206,"ELLIOTT, JOYCE ANN SENATOR",C,1,DEM,442368.67,0.0,100840.19,0.0,0.0,341528.48,100.0,10000.0,0.0,0.0,0.0,10000.0,382117.83,AR,2,,,,,,48750.0,1400.0,03/31/2020,2901.0,500.0
H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS.",C,1,DEM,0.0,0.0,897.9,0.0,2456.03,1558.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,2,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H8AR02159,"TUCKER, EVERETT CLARKE IV",C,1,DEM,99.99,0.0,4219.51,0.0,7756.41,3636.89,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,AR,2,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H4AR02141,"HILL, JAMES FRENCH",I,2,REP,1674374.36,144152.08,442209.31,0.0,46780.63,1278945.68,0.0,0.0,0.0,0.0,0.0,0.0,725369.72,AR,2,,,,,,765946.96,1500.0,03/31/2020,50.0,0.0
H0AR03030,"WHITAKER, DAVID JEFFREY",O,1,DEM,0.0,0.0,0.0,0.0,3367.43,3367.43,0.0,0.0,0.0,0.0,0.0,18457.09,0.0,AR,3,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AR03105,"WILLIAMS, CELESTE SARENE",C,1,DEM,145023.3,0.0,120162.06,0.0,0.0,24861.24,0.0,0.0,0.0,0.0,0.0,0.0,142074.7,AR,3,,,,,,0.0,2183.33,03/31/2020,0.0,0.0
H8AR03074,"MAHONY, JOSH",C,1,DEM,2660.0,0.0,2846.36,0.0,186.36,0.0,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,3,,,,,,0.0,0.0,04/30/2019,0.0,0.0
H0AR03055,"WOMACK, STEVE",I,2,REP,666317.84,0.0,439524.51,0.0,1159218.79,1386012.12,0.0,0.0,0.0,0.0,0.0,0.0,318917.0,AR,3,,,,,,343381.3,0.0,03/31/2020,0.0,0.0
H2AR03143,"HENDREN, JAMES PAUL",C,2,REP,0.45,0.0,0.0,0.0,93.06,93.51,0.0,0.18,0.27,0.0,0.0,450142.6,0.0,AR,3,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H0AR02198,"REDMOND, RAYMOND DALLAS JR.",C,1,DEM,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,4,,,,,,0.0,0.0,06/30/2019,0.0,0.0
H0AR04087,"HANSON, WILLIAM MR.",C,1,DEM,73174.0,0.0,66068.69,0.0,0.0,7105.31,0.0,0.0,41900.0,0.0,0.0,41900.0,31274.0,AR,4,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H2AR04133,"HURST, Q. BYRUM JR",O,1,DEM,0.0,0.0,0.0,0.0,20.61,20.61,0.0,0.0,0.0,0.0,0.0,8982.22,0.0,AR,4,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H8AR04130,"SHAMEL, HAYDEN CATHERINE",C,1,DEM,1488.23,0.0,3102.33,0.0,2197.18,303.18,1353.85,0.0,0.0,0.0,0.0,0.0,0.0,AR,4,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H2AR04083,"COTTON, THOMAS",C,2,REP,4528027.41,1388518.31,1749144.45,0.0,2099351.54,4878234.5,0.0,0.0,0.0,0.0,0.0,73959.0,2200600.61,AR,4,,,,,,898450.0,0.0,03/31/2020,56460.56,5000.0
H4AR04048,"WESTERMAN, BRUCE",I,2,REP,918034.41,4167.0,465184.21,2000.0,671609.55,1124459.75,0.0,0.0,0.0,0.0,0.0,0.0,396277.0,AR,4,,,,,,512150.0,0.0,03/31/2020,4300.0,0.0
H8AR04148,"CALDWELL, RANDY",C,2,REP,0.0,0.0,644.64,0.0,307.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,4,,,,,,0.0,0.0,06/14/2019,0.0,0.0
H4AS00036,"AMATA, AUMUA",I,2,REP,25126.15,0.0,24147.69,0.0,916.98,1895.44,0.0,0.0,0.0,0.0,0.0,0.0,16926.15,AS,0,,,,,,7800.0,400.0,06/30/2020,0.0,0.0
H0AZ01358,"PUTZOVA, EVA",C,1,DEM,186533.04,0.0,146411.13,0.0,0.0,40204.25,524.44,0.0,0.0,0.0,0.0,0.0,185679.08,AZ,1,,,,,,0.0,0.0,03/31/2020,422.02,0.0
H6AZ01199,"O'HALLERAN, TOM",I,1,DEM,1631488.76,58323.37,557876.33,0.0,5931.95,1079544.38,0.0,0.0,0.0,0.0,0.0,0.0,802274.62,AZ,1,,,,,,752536.42,1412.79,03/31/2020,4399.44,3500.0
H0AZ01366,"TAYLOR, CHRIS",C,2,REP,28872.83,0.0,28699.86,0.0,0.0,172.97,0.0,0.0,0.0,0.0,0.0,23297.57,28872.83,AZ,1,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AZ01390,"MOORE, JOHN WILLIAM",C,2,REP,8120.56,0.0,5792.43,0.0,2750.0,5078.13,0.0,0.0,0.0,0.0,0.0,0.0,8120.56,AZ,1,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AZ01408,"REIDHEAD, NOLAN QUINN MR",C,2,REP,111039.69,0.0,98377.42,0.0,0.0,12662.27,29878.61,15000.0,0.0,0.0,0.0,15000.0,66072.04,AZ,1,,,,,,0.0,0.0,06/30/2020,4500.0,0.0
H0AZ01424,"SHAMLEY, DOYEL",C,2,REP,4887.57,0.0,4887.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4887.57,AZ,1,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H2AZ01172,"RENZI, RICHARD G.",I,2,REP,0.0,0.0,0.0,0.0,1244.79,1244.79,0.0,0.0,0.0,0.0,0.0,456157.37,0.0,AZ,1,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H2AZ09035,"ROGERS, WENDY",C,2,REP,49935.0,0.0,51637.07,0.0,1702.07,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,44935.0,AZ,1,,,,,,5000.0,0.0,12/31/2019,1150.0,0.0
H4AZ01145,"KIEHNE, GARY",C,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,AZ,1,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H6AZ01173,"BENNETT, KEN",O,2,REP,0.0,0.0,0.0,0.0,3112.16,3112.16,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,AZ,1,,,,,,0.0,0.0,06/30/2019,0.0,0.0
H8AZ01211,"CAVANAUGH, KEVIN",C,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.73,0.0,AZ,1,,,,,,0.0,0.0,03/31/2019,0.0,0.0
H8AZ01229,"SMITH, STEVE",C,2,REP,0.0,0.0,186.37,0.0,186.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,1,,,,,,0.0,0.0,02/07/2020,0.0,0.0
H8AZ01237,"SHEDD, TIFFANY",C,2,REP,446766.87,0.0,269945.11,0.0,3433.46,180255.22,5815.92,66140.37,0.0,0.0,0.0,295140.37,323614.86,AZ,1,,,,,,51000.0,0.0,03/31/2020,120.0,0.0
H0AZ02240,"KOHLER, NEVIN",C,1,DEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,2,,,,,,0.0,0.0,09/09/2019,0.0,0.0
H0AZ02281,"QUILTER, PETER",C,1,DEM,9114.0,0.0,8052.0,0.0,0.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,9114.0,AZ,2,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H8AZ01104,"KIRKPATRICK, ANN",I,1,DEM,1276651.3,1107.63,659267.08,0.0,72191.25,689575.47,0.0,0.0,0.0,0.0,0.0,0.0,765048.99,AZ,2,,,,,,485501.0,0.0,03/31/2020,10073.59,166.67
H8AZ02136,"HEINZ, MATTHEW GERALD",O,1,DEM,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,AZ,2,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H8AZ02235,"YUKSEL, YAHYA",O,1,DEM,0.0,0.0,478.56,0.0,-1680.27,-2158.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,2,,,,,,0.0,0.0,02/05/2019,0.0,0.0
H0AZ02174,"WADSACK, JUSTINE LOUISE",C,2,REP,17427.68,0.0,17329.65,0.0,0.0,98.03,0.0,7370.82,0.0,0.0,0.0,7370.82,9480.0,AZ,2,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AZ02182,"MORGAN, JOSEPH DAVID",C,2,REP,29387.2,0.0,27059.17,0.0,0.0,2368.03,364.54,0.0,0.0,0.0,0.0,0.0,28926.66,AZ,2,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H0AZ02190,"MARTIN, BRANDON RAY",C,2,REP,98401.89,0.0,72424.65,0.0,0.0,25977.24,0.0,0.0,0.0,0.0,0.0,0.0,98369.29,AZ,2,,,,,,0.0,0.0,03/31/2020,200.0,0.0
H0AZ02224,"LIGON, MIKE",C,2,REP,50500.0,0.0,50500.0,0.0,0.0,0.0,6887.88,43112.12,0.0,43112.12,0.0,0.0,500.0,AZ,2,,,,,,0.0,0.0,08/01/2019,500.0,0.0
H0AZ02232,"STAUTZ, SHAY",C,2,REP,242101.98,0.0,127947.09,0.0,0.0,114154.89,0.0,105000.0,0.0,0.0,0.0,105000.0,137101.98,AZ,2,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AZ02265,"RUDEN, NORAN ERIC",C,2,REP,235342.28,0.0,79831.67,0.0,0.0,155510.61,108351.8,100000.0,0.0,0.0,0.0,100000.0,26987.09,AZ,2,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H2AZ08102,"MCSALLY, MARTHA",I,2,REP,0.0,0.0,66813.25,1998.43,66813.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,2,,,,,,0.0,0.0,03/31/2020,-23611.25,0.0
H8AZ02185,"MARQUEZ PETERSON, LEA",O,2,REP,6056.05,0.0,15270.33,0.0,9214.28,0.0,0.0,0.0,0.0,8711.18,0.0,2601.33,0.0,AZ,2,,,,,,0.0,0.0,06/30/2019,0.0,5000.0
H8AZ02201,"MARTIN, BRANDON RAY",O,2,REP,98401.89,0.0,72424.65,0.0,0.0,25977.24,0.0,0.0,0.0,0.0,0.0,0.0,98369.29,AZ,2,,,,,,0.0,0.0,03/31/2020,200.0,0.0
H8AZ02227,"MORALES, DANIEL ROMERO JR",O,2,REP,0.0,0.0,79.3,0.0,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,2,,,,,,0.0,0.0,01/31/2019,0.0,0.0
H2AZ07070,"GRIJALVA, RAUL M",I,1,DEM,474467.43,16026.11,335956.7,0.0,38155.74,176666.47,0.0,0.0,0.0,0.0,0.0,4015.59,303134.61,AZ,3,,,,,,153181.94,0.0,03/31/2020,8372.6,500.0
H0AZ03453,"RONNEBECK, STEVE",C,2,REP,4880.0,0.0,3422.36,0.0,0.0,1457.64,0.0,0.0,0.0,0.0,0.0,0.0,4880.0,AZ,3,,,,,,0.0,0.0,12/31/2019,0.0,0.0
H6AZ03179,"SAN MIGUEL, EDNA",C,2,REP,0.0,0.0,0.0,0.0,2583.43,2583.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,3,,,,,,0.0,0.0,12/31/2019,0.0,0.0
H8AZ03142,"ARELLANO, SERGIO",C,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,3,,,,,,0.0,0.0,02/01/2019,0.0,0.0
H8AZ04140,"BRILL, DAVID H",C,1,DEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,4,,,,,,0.0,0.0,07/31/2019,0.0,0.0
H8AZ04165,"DISANTO, DELINA",C,1,DEM,30750.85,0.0,28276.22,0.0,0.0,11038.82,0.0,0.0,0.0,0.0,0.0,34504.93,28245.85,AZ,4,,,,,,0.0,2500.0,06/30/2020,0.0,0.0
H0AZ01259,"GOSAR, PAUL DR.",I,2,REP,322988.69,19520.43,212555.91,0.0,121199.58,231632.36,0.0,0.0,0.0,0.0,0.0,0.0,172897.63,AZ,4,,,,,,129791.93,0.0,03/31/2020,12650.0,0.0
H0AZ04535,"WARD, ANNE MARIE",C,2,REP,47283.08,0.0,42771.67,0.0,0.0,4511.41,0.0,9525.0,0.0,0.0,0.0,15453.13,37183.0,AZ,4,,,,,,0.0,0.0,03/31/2020,500.0,0.0
H2AZ04135,"GOULD, RON",C,2,REP,0.0,0.0,0.0,0.0,4473.28,4473.28,0.0,0.0,0.0,0.0,0.0,141741.2,0.0,AZ,4,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H0AZ04527,"ROBINSON, EMILY",C,3,IND,240267.23,0.0,212.72,0.0,0.0,240054.51,0.0,240207.24,0.0,0.0,0.0,240207.24,59.99,AZ,4,,,,,,0.0,0.0,12/31/2019,0.0,0.0
H8AZ05154,"GREENE, JOAN",C,1,DEM,58444.53,0.0,50002.43,0.0,1837.41,9279.51,0.0,8944.79,0.0,9348.56,0.0,146121.23,49499.74,AZ,5,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H2AZ06148,"ADAMS, KIRK DAVID",O,2,REP,0.0,0.0,560.22,0.0,560.22,0.0,0.0,0.0,0.0,560.22,0.0,0.0,0.0,AZ,5,,,,,,0.0,0.0,07/15/2019,0.0,0.0
H6AZ05083,"BIGGS, ANDY MR.",I,2,REP,745431.72,19520.43,503849.57,0.0,285245.51,526827.66,0.0,0.0,0.0,61000.0,0.0,70000.0,532231.29,AZ,5,,,,,,192680.0,0.0,03/31/2020,2735.0,1000.0
H6AZ05091,"OLSON, JUSTIN",O,2,REP,0.0,0.0,703.23,0.0,703.23,0.0,0.0,0.0,0.0,703.23,0.0,99296.77,0.0,AZ,5,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H6AZ05125,"JONES, CHRISTINE",O,2,REP,247225.35,0.0,250000.0,0.0,2774.65,0.0,247225.35,0.0,0.0,250000.0,0.0,0.0,0.0,AZ,5,,,,,,0.0,0.0,03/31/2019,0.0,0.0
H0AZ06068,"RIMMER, STEPHANIE S",C,1,DEM,172133.39,0.0,123534.83,0.0,0.0,48598.56,15.0,114500.0,0.0,0.0,0.0,114500.0,55994.25,AZ,6,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AZ06084,"GENTLES, KARL E",C,1,DEM,146220.63,0.0,64384.09,0.0,0.0,81836.54,0.0,0.0,0.0,0.0,0.0,0.0,146220.63,AZ,6,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H8AZ06103,"MALIK, ANITA",C,1,DEM,167507.0,0.0,137076.69,0.0,6195.48,36625.79,0.0,0.0,0.0,0.0,0.0,0.0,166562.0,AZ,6,,,,,,0.0,0.0,03/31/2020,35.0,0.0
H8AZ08083,"TIPIRNENI, HIRAL VYAS",C,1,DEM,1735682.7,0.0,630462.04,0.0,100601.74,1205822.4,13100.0,0.0,0.0,0.0,0.0,70000.0,1530937.04,AZ,6,,,,,,190738.08,0.0,03/31/2020,10736.5,0.0
H0AZ01184,"FLAKE, JEFF MR.",C,2,REP,4140.04,0.0,30996.47,0.0,1121967.48,1095111.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,6,,,,,,3261.11,0.0,03/31/2020,0.0,0.0
H4AZ06045,"SCHWEIKERT, DAVID S.",I,2,REP,1098792.59,167145.45,916737.93,0.0,44232.49,226287.15,0.0,0.0,0.0,0.0,0.0,98494.35,639370.43,AZ,6,,,,,,291858.75,0.0,03/31/2020,6056.6,0.0
H0AZ06092,"LEWELLEN, TOM MR.",C,3,C,13615.0,0.0,8410.22,0.0,0.0,1226.78,0.0,10200.0,0.0,0.0,0.0,0.0,3415.0,AZ,6,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H2AZ02055,"PASTOR, ED L",C,1,DEM,0.0,0.0,2962.34,0.0,97406.64,94444.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,7,,,,,,0.0,0.0,03/31/2020,0.0,0.0
